symbol,name,isin,industry
PRUDENT,Prudent Corporate Advisory Services Limited,INE00F201020,Financial Products Distributor
EMIL,Electronics Mart India Limited,INE02YR01019,Diversified Retail
NRBBEARING,NRB Bearing Limited,INE349A01021,Auto Components & Equipments
GRAVITA,Gravita India Limited,INE024L01027,Industrial Minerals
ENTERO,Entero Healthcare Solutions Limited,INE010601016,Pharmacy Retail
FUSION,Fusion Finance Limited,INE139R01012,Microfinance Institutions
SEQUENT,Sequent Scientific Limited,INE807F01027,Pharmaceuticals
SFL,Sheela Foam Limited,INE916U01025,Furniture Home Furnishing
SANGHIIND,Sanghi Industries Limited,INE999B01013,Cement & Cement Products
STARCEMENT,Star Cement Limited,INE460H01021,Cement & Cement Products
SINDHUTRAD,Sindhu Trade Links Limited,INE325D01025,Diversified
IIFLSEC,IIFL Securities Limited,INE489L01022,Stockbroking & Allied
JTLIND,JTL INDUSTRIES LIMITED,INE391J01024,Iron & Steel Products
SAFARI,Safari Industries (India) Limited,INE429E01023,Plastic Products - Consumer
SANSERA,Sansera Engineering Limited,INE953O01021,Auto Components & Equipments
JISLJALEQS,Jain Irrigation Systems Limited,INE175A01038,Plastic Products - Industrial
EDELWEISS,Edelweiss Financial Services Limited,INE532F01054,Holding Company
DHANI,Dhani Services Limited,INE274G01010,Other Financial Services
ELECTCAST,Electrosteel Castings Limited,INE086A01029,Iron & Steel Products
SAMHI,Samhi Hotels Limited,INE08U801020,Hotels & Resorts
YATHARTH,Yatharth Hospital & Trauma Care Services Limited,INE0JO301016,Hospital
ARVINDFASN,Arvind Fashions Limited,INE955V01021,Speciality Retail
POWERMECH,Power Mech Projects Limited,INE211R01019,Civil Construction
WOCKPHARMA,Wockhardt Limited,INE049B01025,Pharmaceuticals
RELINFRA,Reliance Infrastructure Limited,INE036A01016,Integrated Power Utilities
PTC,PTC India Limited,INE877F01012,Power Trading
HGINFRA,H.G. Infra Engineering Limited,INE926X01010,Civil Construction
DODLA,Dodla Dairy Limited,INE021O01019,Dairy Products
ASHOKA,Ashoka Buildcon Limited,INE442H01029,Civil Construction
SPANDANA,Spandana Sphoorty Financial Limited,INE572J01011,Microfinance Institutions
PAISALO,Paisalo Digital Limited,INE420C01059,Non Banking Financial Company (NBFC)
STYLAMIND,Stylam Industries Limited,INE239C01020,Plywood Boards/ Laminates
VOLTAMP,Voltamp Transformers Limited,INE540H01012,Heavy Electrical Equipment
KALAMANDIR,Sai Silks (Kalamandir) Limited,INE438K01021,Speciality Retail
SUBROS,Subros Limited,INE287B01021,Auto Components & Equipments
CYIENTDLM,Cyient DLM Limited,INE055S01018,Industrial Products
BOROLTD,Borosil Limited,INE02PY01013,Glass - Consumer
IXIGO,Le Travenues Technology Limited,INE0HV901016,Tour Travel Related Services
INDIAGLYCO,India Glycols Limited,INE560A01015,Commodity Chemicals
OPTIEMUS,Optiemus Infracom Limited,INE350C01017,Telecom - Equipment & Accessories
UTKARSHBNK,Utkarsh Small Finance Bank Limited,INE735W01017,Other Bank
LANDMARK,Landmark Cars Limited,INE559R01029,Auto Dealer
IPL,India Pesticides Limited,INE0D6701023,Pesticides & Agrochemicals
INDIASHLTR,India Shelter Finance Corporation Limited,INE922K01024,Housing Finance Company
TCIEXP,TCI Express Limited,INE586V01016,Logistics Solution Provider
MUTHOOTMF,Muthoot Microfin Limited,INE046W01019,Microfinance Institutions
DCMSHRIRAM,DCM Shriram Limited,INE499A01024,Diversified
RATEGAIN,Rategain Travel Technologies Limited,INE0CLI01024,Computers - Software & Consulting
HATHWAY,Hathway Cable & Datacom Limited,INE982F01036,TV Broadcasting & Software Production
SUPRIYA,Supriya Lifescience Limited,INE07RO01027,Pharmaceuticals
NEOGEN,Neogen Chemicals Limited,INE136S01016,Specialty Chemicals
BORORENEW,BOROSIL RENEWABLES LIMITED,INE666D01022,Glass - Industrial
HINDWAREAP,Hindware Home Innovation Limited,INE05AN01011,Sanitary Ware
GOCOLORS,Go Fashion (India) Limited,INE0BJS01011,Speciality Retail
SULA,Sula Vineyards Limited,INE142Q01026,Breweries & Distilleries
MEDPLUS,Medplus Health Services Limited,INE804L01022,Pharmacy Retail
TIIL,Technocraft Industries (India) Limited,INE545H01011,Iron & Steel Products
TIRUMALCHM,Thirumalai Chemicals Limited,INE338A01024,Commodity Chemicals
PRINCEPIPE,Prince Pipes And Fittings Limited,INE689W01016,Plastic Products - Industrial
HINDOILEXP,Hindustan Oil Exploration Company Limited,INE345A01011,Oil Exploration & Production
IMFA,Indian Metals & Ferro Alloys Limited,INE919H01018,Ferro & Silica Manganese
DISHTV,Dish TV India Limited,INE836F01026,TV Broadcasting & Software Production
PARAS,Paras Defence and Space Technologies Limited,INE045601015,Aerospace & Defense
MAHLOG,Mahindra Logistics Limited,INE766P01016,Logistics Solution Provider
VENKEYS,Venky's (India) Limited,INE398A01010,Meat Products including Poultry
AGI,AGI Greenpac Limited,INE415A01038,Packaging
INDIGOPNTS,Indigo Paints Limited,INE09VQ01012,Paints
VSTIND,VST Industries Limited,INE710A01016,Cigarettes & Tobacco Products
RAMKY,Ramky Infrastructure Limited,INE874I01013,Civil Construction
MIDHANI,Mishra Dhatu Nigam Limited,INE099Z01011,Aerospace & Defense
ROLEXRINGS,Rolex Rings Limited,INE645S01016,Auto Components & Equipments
SHAREINDIA,Share India Securities Limited,INE932X01026,Stockbroking & Allied
DATAMATICS,Datamatics Global Services Limited,INE365B01017,IT Enabled Services
HEMIPROP,Hemisphere Properties India Limited,INE0AJG01018,Diversified Commercial Services
RELIGARE,Religare Enterprises Limited,INE621H01010,Investment Company
FIEMIND,Fiem Industries Limited,INE737H01014,Auto Components & Equipments
NIITMTS,NIIT Learning Systems Limited,INE342G01023,Education
IMAGICAA,Imagicaaworld Entertainment Limited,INE172N01012,Amusement Parks/ Other Recreation
SANDUMA,Sandur Manganese & Iron Ores Limited,INE149K01016,Coal
MAITHANALL,Maithan Alloys Limited,INE683C01011,Ferro & Silica Manganese
AHLUCONT,Ahluwalia Contracts (India) Limited,INE758C01029,Civil Construction
GREENPLY,Greenply Industries Limited,INE461C01038,Plywood Boards/ Laminates
JINDWORLD,Jindal Worldwide Limited,INE247D01039,Other Textile Products
SUPRAJIT,Suprajit Engineering Limited,INE399C01030,Auto Components & Equipments
ORISSAMINE,The Orissa Minerals Development Company Limited,INE725E01024,Industrial Minerals
GOKEX,Gokaldas Exports Limited,INE887G01027,Garments & Apparels
NFL,National Fertilizers Limited,INE870D01012,Fertilizers
CMSINFO,CMS Info Systems Limited,INE925R01014,Diversified Commercial Services
IFBIND,IFB Industries Limited,INE559A01017,Household Appliances
TI,Tilaknagar Industries Limited,INE133E01013,Breweries & Distilleries
SOUTHBANK,The South Indian Bank Limited,INE683A01023,Private Sector Bank
HCC,Hindustan Construction Company Limited,INE549A01026,Civil Construction
JUNIPER,Juniper Hotels Limited,INE696F01016,Hotels & Resorts
KOLTEPATIL,Kolte - Patil Developers Limited,INE094I01018,Residential Commercial Projects
RBA,Restaurant Brands Asia Limited,INE07T201019,Restaurants
MOIL,MOIL Limited,INE490G01020,Industrial Minerals
SPLPETRO,Supreme Petrochem Limited,INE663A01033,Petrochemicals
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,INE782A01015,Household Appliances
BANCOINDIA,Banco Products (I) Limited,INE213C01025,Auto Components & Equipments
ROSSARI,Rossari Biotech Limited,INE02A801020,Specialty Chemicals
CONFIPET,Confidence Petroleum India Limited,INE552D01024,LPG/CNG/PNG/LNG Supplier
AZAD,Azad Engineering Limited,INE02IJ01035,Heavy Electrical Equipment
SANGHVIMOV,Sanghvi Movers Limited,INE989A01032,Construction Vehicles
BAJAJHIND,Bajaj Hindusthan Sugar Limited,INE306A01021,Sugar
JAMNAAUTO,Jamna Auto Industries Limited,INE039C01032,Auto Components & Equipments
LTFOODS,LT Foods Limited,INE818H01020,Other Agricultural Products
PATELENG,Patel Engineering Limited,INE244B01030,Civil Construction
TIMETECHNO,Time Technoplast Limited,INE508G01029,Plastic Products - Industrial
NAVA,NAVA LIMITED,INE725A01022,Power Generation
ESAFSFB,ESAF Small Finance Bank Limited,INE818W01011,Other Bank
RAIN,Rain Industries Limited,INE855B01025,Petrochemicals
RALLIS,Rallis India Limited,INE613A01020,Pesticides & Agrochemicals
BAJAJCON,Bajaj Consumer Care Limited,INE933K01021,Personal Care
STLTECH,Sterlite Technologies Limited,INE089C01029,Telecom - Equipment & Accessories
JLHL,Jupiter Life Line Hospitals Limited,INE682M01012,Hospital
BBL,Bharat Bijlee Limited,INE464A01036,Other Electrical Equipment
LXCHEM,Laxmi Organic Industries Limited,INE576O01020,Specialty Chemicals
GABRIEL,Gabriel India Limited,INE524A01029,Auto Components & Equipments
VEEDOL,Veedol Corporation Limited,INE484C01030,Lubricants
DREAMFOLKS,Dreamfolks Services Limited,INE0JS101016,Airport & Airport services
SSWL,Steel Strips Wheels Limited,INE802C01033,Auto Components & Equipments
ETHOSLTD,Ethos Limited,INE04TZ01018,Gems Jewellery And Watches
SUNTECK,Sunteck Realty Limited,INE805D01034,Residential Commercial Projects
DELTACORP,Delta Corp Limited,INE124G01033,Amusement Parks/ Other Recreation
