symbol,companyName,isin,industry
APOLLOHOSP,Apollo Hospitals Enterprise Limited,INE437A01024,Hospital
MAXHEALTH,Max Healthcare Institute Limited,INE027H01010,Hospital
ADANIGREEN,Adani Green Energy Limited,INE364U01010,Power Generation
DMART,Avenue Supermarts Limited,INE192R01011,Diversified Retail
BAJAJFINSV,Bajaj Finserv Limited,INE918I01026,Holding Company
HDFCBANK,HDFC Bank Limited,INE040A01034,Private Sector Bank
KOTAKBANK,Kotak Mahindra Bank Limited,INE237A01028,Private Sector Bank
INDUSINDBK,IndusInd Bank Limited,INE095A01012,Private Sector Bank
HDFCLIFE,HDFC Life Insurance Company Limited,INE795G01014,Life Insurance
NTPC,NTPC Limited,INE733E07JE0,Power Generation
TECHM,Tech Mahindra Limited,INE669C01036,Computers - Software & Consulting
BHARTIARTL,Bharti Airtel Limited,INE397D01024,Telecom - Cellular & Fixed line services
HCLTECH,HCL Technologies Limited,INE860A01027,Computers - Software & Consulting
POWERGRID,Power Grid Corporation of India Limited,INE752E01010,Power - Transmission
ICICIBANK,ICICI Bank Limited,IN9090A01045,Private Sector Bank
BAJFINANCE,Bajaj Finance Limited,INE296A01024,Non Banking Financial Company (NBFC)
ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042,Port & Port services
SBILIFE,SBI Life Insurance Company Limited,INE123W01016,Life Insurance
TCS,Tata Consultancy Services Limited,INE467B01029,Computers - Software & Consulting
SBIN,State Bank of India,INE062A08041,Public Sector Bank
SHRIRAMFIN,Shriram Finance Limited,INE721A07NZ0,Non Banking Financial Company (NBFC)
NAUKRI,Info Edge (India) Limited,INE663F01024,Internet & Catalogue Retail
JIOFIN,Jio Financial Services Limited,INE758E01017,Non Banking Financial Company (NBFC)
INFY,Infosys Limited,INE009A01021,Computers - Software & Consulting
AXISBANK,Axis Bank Limited,INE238A01034,Private Sector Bank
GAIL,GAIL (India) Limited,INE129A01019,Gas Transmission/Marketing
LTIM,LTIMindtree Limited,INE214T01019,Computers - Software & Consulting
ZOMATO,Zomato Limited,INE758T01015,E-Retail/ E-Commerce
TATAPOWER,Tata Power Company Limited,INE245A01021,Integrated Power Utilities
WIPRO,Wipro Limited,INE075A01022,Computers - Software & Consulting
