symbol,companyName,isin,industry
CASTROLIND,Castrol India Limited,INE172A01027,Lubricants
HINDUNILVR,Hindustan Unilever Limited,INE030A01027,Diversified FMCG
BSE,BSE Limited,INE118H01025,Exchange and Data Platform
PETRONET,Petronet LNG Limited,INE347G01014,LPG/CNG/PNG/LNG Supplier
COLPAL,Colgate Palmolive (India) Limited,INE259A01022,Personal Care
CUMMINSIND,Cummins India Limited,INE298A01020,Compressors Pumps & Diesel Engines
HDFCAMC,HDFC Asset Management Company Limited,INE127D01025,Asset Management Company
HEROMOTOCO,Hero MotoCorp Limited,INE158A01026,2/3 Wheelers
BEL,Bharat Electronics Limited,INE263A01024,Aerospace & Defense
BPCL,Bharat Petroleum Corporation Limited,INE029A01011,Refineries & Marketing
ANGELONE,Angel One Limited,INE732I01013,Stockbroking & Allied
IOC,Indian Oil Corporation Limited,INE242A01010,Refineries & Marketing
BRITANNIA,Britannia Industries Limited,INE216A07052,Packaged Foods
M&MFIN,Mahindra & Mahindra Financial Services Limited,INE774D08MG3,Non Banking Financial Company (NBFC)
NTPC,NTPC Limited,INE733E07JH3,Power Generation
LICHSGFIN,LIC Housing Finance Limited,INE115A01026,Housing Finance Company
TECHM,Tech Mahindra Limited,INE669C01036,Computers - Software & Consulting
NHPC,NHPC Limited,INE848E07542,Power Generation
ITC,ITC Limited,INE154A01025,Diversified FMCG
TATASTEEL,Tata Steel Limited,INE081A03018,Iron & Steel
CYIENT,Cyient Limited,INE136B01020,IT Enabled Services
UNIONBANK,Union Bank of India,INE692A01016,Public Sector Bank
HCLTECH,HCL Technologies Limited,INE860A01027,Computers - Software & Consulting
POWERGRID,Power Grid Corporation of India Limited,INE752E01010,Power - Transmission
PEL,Piramal Enterprises Limited,INE140A01024,Non Banking Financial Company (NBFC)
BANKINDIA,Bank of India,INE084A01016,Public Sector Bank
IGL,Indraprastha Gas Limited,INE203G01027,LPG/CNG/PNG/LNG Supplier
BAJAJ-AUTO,Bajaj Auto Limited,INE917I01010,2/3 Wheelers
TCS,Tata Consultancy Services Limited,INE467B01029,Computers - Software & Consulting
PFC,Power Finance Corporation Limited,INE134E07422,Financial Institution
SHRIRAMFIN,Shriram Finance Limited,INE721A07PO9,Non Banking Financial Company (NBFC)
SBIN,State Bank of India,INE062A01020,Public Sector Bank
SAIL,Steel Authority of India Limited,INE114A01011,Iron & Steel
INFY,Infosys Limited,INE009A01021,Computers - Software & Consulting
IDFC,IDFC Limited,INE043D07AE5,Holding Company
VEDL,Vedanta Limited,INE205A01025,Diversified Metals
RECLTD,REC Limited,INE020B07IF7,Financial Institution
IRFC,Indian Railway Finance Corporation Limited,INE053F07561,Financial Institution
GAIL,GAIL (India) Limited,INE129A01019,Gas Transmission/Marketing
NMDC,NMDC Limited,INE584A01023,Industrial Minerals
MANAPPURAM,Manappuram Finance Limited,INE522D07784,Non Banking Financial Company (NBFC)
MPHASIS,MphasiS Limited,INE356A01018,Computers - Software & Consulting
BANKBARODA,Bank of Baroda,INE028A01039,Public Sector Bank
INDIANB,Indian Bank,INE562A01011,Public Sector Bank
NATIONALUM,National Aluminium Company Limited,INE139A01034,Aluminium
OFSS,Oracle Financial Services Software Limited,INE881D01027,Software Products
CANBK,Canara Bank,INE476A01022,Public Sector Bank
COALINDIA,Coal India Limited,INE522F01014,Coal
ONGC,Oil & Natural Gas Corporation Limited,INE213A01029,Oil Exploration & Production
OIL,Oil India Limited,INE274J01014,Oil Exploration & Production
