symbol,name,isin,industry
PNB,Punjab National Bank,INE160A01022,Public Sector Bank
IDFCFIRSTB,IDFC First Bank Limited,INE092T01019,Private Sector Bank
CANBK,Canara Bank,INE476A01022,Public Sector Bank
BANKBARODA,Bank of Baroda,INE028A01039,Public Sector Bank
AXISBANK,Axis Bank Limited,INE238A01034,Private Sector Bank
AUBANK,AU Small Finance Bank Limited,INE949L01017,Other Bank
INDUSINDBK,IndusInd Bank Limited,INE095A01012,Private Sector Bank
KOTAKBANK,Kotak Mahindra Bank Limited,INE237A01028,Private Sector Bank
SBIN,State Bank of India,INE062A01020,Public Sector Bank
HDFCBANK,HDFC Bank Limited,INE040A01034,Private Sector Bank
FEDERALBNK,The Federal Bank  Limited,INE171A01029,Private Sector Bank
ICICIBANK,ICICI Bank Limited,INE090A01021,Private Sector Bank
