symbol,companyName,isin,industry
PPLPHARMA,Piramal Pharma Limited,INE0DK501011,Pharmaceuticals
SUVENPHAR,Suven Pharmaceuticals Limited,INE03QK01018,Pharmaceuticals
ASAHIINDIA,Asahi India Glass Limited,INE439A01020,Auto Components & Equipments
HINDPETRO,Hindustan Petroleum Corporation Limited,INE169701013,Refineries & Marketing
GRANULES,Granules India Limited,INE101D01020,Pharmaceuticals
KAYNES,Kaynes Technology India Limited,INE918Z01012,Industrial Products
DEEPAKNTR,Deepak Nitrite Limited,INE288B01029,Specialty Chemicals
CENTURYTEX,Century Textiles & Industries Limited,INE055A01016,Paper & Paper Products
SANOFI,Sanofi India Limited,INE058A01010,Pharmaceuticals
ALKEM,Alkem Laboratories Limited,INE540L01014,Pharmaceuticals
BLUESTARCO,Blue Star Limited,INE472A01039,Household Appliances
CASTROLIND,Castrol India Limited,INE172A01027,Lubricants
RKFORGE,Ramkrishna Forgings Limited,INE399G01023,Auto Components & Equipments
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,INE113A01013,Commodity Chemicals
UPL,UPL Limited,INE628A03016,Pesticides & Agrochemicals
BALKRISIND,Balkrishna Industries Limited,INE787D01026,Tyres & Rubber Products
LAURUSLABS,Laurus Labs Limited,INE947Q01028,Pharmaceuticals
NATCOPHARM,Natco Pharma Limited,INE987B01026,Pharmaceuticals
SUNPHARMA,Sun Pharmaceutical Industries Limited,INE044A04014,Pharmaceuticals
LUPIN,Lupin Limited,INE326A01037,Pharmaceuticals
IPCALAB,IPCA Laboratories Limited,INE571A01038,Pharmaceuticals
RAYMOND,Raymond Limited,INE301A01014,Residential Commercial Projects
APOLLOTYRE,Apollo Tyres Limited,INE438A01022,Tyres & Rubber Products
NAVINFLUOR,Navin Fluorine International Limited,INE048G01026,Specialty Chemicals
BHARATFORG,Bharat Forge Limited,INE465A13020,Auto Components & Equipments
AMBER,Amber Enterprises India Limited,INE371P01015,Household Appliances
CUMMINSIND,Cummins India Limited,INE298A01020,Compressors Pumps & Diesel Engines
KEC,KEC International Limited,INE389H01022,Civil Construction
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,INE085A01013,Fertilizers
FINPIPE,Finolex Industries Limited,INE183A01024,Plastic Products - Industrial
MRF,MRF Limited,INE883A01011,Tyres & Rubber Products
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,INE572A01036,Pharmaceuticals
ELGIEQUIP,Elgi Equipments Limited,INE285A01027,Compressors Pumps & Diesel Engines
BEL,Bharat Electronics Limited,INE263A01024,Aerospace & Defense
DIVISLAB,Divi's Laboratories Limited,INE361B01024,Pharmaceuticals
HEROMOTOCO,Hero MotoCorp Limited,INE158A01026,2/3 Wheelers
RELIANCE,Reliance Industries Limited,INE002A01018,Refineries & Marketing
ASTRAL,Astral Limited,INE006I01046,Plastic Products - Industrial
TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,INE615H01020,Railway Wagons
WELCORP,Welspun Corp Limited,INE191B01025,Iron & Steel Products
PIIND,PI Industries Limited,INE603J01030,Pesticides & Agrochemicals
EICHERMOT,Eicher Motors Limited,INE066A01021,2/3 Wheelers
GLENMARK,Glenmark Pharmaceuticals Limited,INE935A01035,Pharmaceuticals
PRAJIND,Praj Industries Limited,INE074A01025,Industrial Products
CROMPTON,Crompton Greaves Consumer Electricals Limited,INE299U01018,Household Appliances
JSWSTEEL,JSW Steel Limited,INE019A01038,Iron & Steel
AUROPHARMA,Aurobindo Pharma Limited,INE406A01037,Pharmaceuticals
POLYMED,Poly Medicure Limited,INE205C01021,Medical Equipment & Supplies
ABBOTINDIA,Abbott India Limited,INE358A01014,Pharmaceuticals
ASHOKLEY,Ashok Leyland Limited,INE208A01029,Commercial Vehicles
CIPLA,Cipla Limited,INE059A01026,Pharmaceuticals
COROMANDEL,Coromandel International Limited,INE169A08010,Fertilizers
CIEINDIA,CIE Automotive India Limited,INE536H01010,Auto Components & Equipments
TATASTEEL,Tata Steel Limited,INE081A03018,Iron & Steel
RATNAMANI,Ratnamani Metals & Tubes Limited,INE703B01027,Iron & Steel Products
FINCABLES,Finolex Cables Limited,INE235A01022,Cables - Electricals
POLYCAB,Polycab India Limited,INE455K01017,Cables - Electricals
TATAMOTORS,Tata Motors Limited,INE155A01022,Passenger Cars & Utility Vehicles
MARUTI,Maruti Suzuki India Limited,INE585B01010,Passenger Cars & Utility Vehicles
BAJAJ-AUTO,Bajaj Auto Limited,INE917I01010,2/3 Wheelers
EXIDEIND,Exide Industries Limited,INE302A01020,Auto Components & Equipments
PAGEIND,Page Industries Limited,INE761H01022,Garments & Apparels
DRREDDY,Dr. Reddy's Laboratories Limited,INE089A08051,Pharmaceuticals
SAIL,Steel Authority of India Limited,INE114A01011,Iron & Steel
ARE&M,Amara Raja Energy & Mobility Limited,INE885A01032,Auto Components & Equipments
DIXON,Dixon Technologies (India) Limited,INE935N01020,Consumer Electronics
HINDCOPPER,Hindustan Copper Limited,INE531E01026,Copper
VOLTAS,Voltas Limited,INE226A01021,Household Appliances
AARTIIND,Aarti Industries Limited,INE769A01020,Specialty Chemicals
M&M,Mahindra & Mahindra Limited,INE101A01026,Passenger Cars & Utility Vehicles
HINDALCO,Hindalco Industries Limited,INE038A01020,Aluminium
TATACHEM,Tata Chemicals Limited,INE344201012,Commodity Chemicals
TEJASNET,Tejas Networks Limited,INE010J01012,Telecom - Equipment & Accessories
NATIONALUM,National Aluminium Company Limited,INE139A01034,Aluminium
BHEL,Bharat Heavy Electricals Limited,INE257A01026,Heavy Electrical Equipment
