symbol,companyName,isin,industry
HINDPETRO,Hindustan Petroleum Corporation Limited,INE169701013,Refineries & Marketing
AUBANK,AU Small Finance Bank Limited,INE949L01017,Other Bank
ALKEM,Alkem Laboratories Limited,INE540L01014,Pharmaceuticals
UPL,UPL Limited,INE628A03016,Pesticides & Agrochemicals
MAXHEALTH,Max Healthcare Institute Limited,INE027H01010,Hospital
BALKRISIND,Balkrishna Industries Limited,INE787D01026,Tyres & Rubber Products
LUPIN,Lupin Limited,INE326A01037,Pharmaceuticals
PETRONET,Petronet LNG Limited,INE347G01014,LPG/CNG/PNG/LNG Supplier
BHARATFORG,Bharat Forge Limited,INE465A13020,Auto Components & Equipments
CUMMINSIND,Cummins India Limited,INE298A01020,Compressors Pumps & Diesel Engines
MRF,MRF Limited,INE883A01011,Tyres & Rubber Products
TIINDIA,Tube Investments of India Limited,INE974X01010,Auto Components & Equipments
HDFCAMC,HDFC Asset Management Company Limited,INE127D01025,Asset Management Company
ACC,ACC Limited,INE012A01025,Cement & Cement Products
DALBHARAT,Dalmia Bharat Limited,INE00R701025,Cement & Cement Products
ASTRAL,Astral Limited,INE006I01046,Plastic Products - Industrial
PIIND,PI Industries Limited,INE603J01030,Pesticides & Agrochemicals
OBEROIRLTY,Oberoi Realty Limited,INE093I01010,Residential Commercial Projects
BANDHANBNK,Bandhan Bank Limited,INE545U01014,Private Sector Bank
M&MFIN,Mahindra & Mahindra Financial Services Limited,INE774D08MG3,Non Banking Financial Company (NBFC)
AUROPHARMA,Aurobindo Pharma Limited,INE406A01037,Pharmaceuticals
GMRINFRA,GMR Airports Infrastructure Limited,INE776C01039,Airport & Airport services
ASHOKLEY,Ashok Leyland Limited,INE208A01029,Commercial Vehicles
ESCORTS,Escorts Kubota Limited,INE042A01014,Tractors
GODREJPROP,Godrej Properties Limited,INE484J01027,Residential Commercial Projects
INDHOTEL,The Indian Hotels Company Limited,INE053A13016,Hotels & Resorts
MFSL,Max Financial Services Limited,INE180A01020,Life Insurance
POLYCAB,Polycab India Limited,INE455K01017,Cables - Electricals
SUZLON,Suzlon Energy Limited,INE040H01021,Heavy Electrical Equipment
IDFCFIRSTB,IDFC First Bank Limited,INE092T08CP8,Private Sector Bank
CONCOR,Container Corporation of India Limited,INE111A01025,Logistics Solution Provider
YESBANK,Yes Bank Limited,INE528G01035,Private Sector Bank
JUBLFOOD,Jubilant Foodworks Limited,INE797F01020,Restaurants
IDEA,Vodafone Idea Limited,INE669E01016,Telecom - Cellular & Fixed line services
PAGEIND,Page Industries Limited,INE761H01022,Garments & Apparels
SAIL,Steel Authority of India Limited,INE114A01011,Iron & Steel
COFORGE,Coforge Limited,INE591G01017,Computers - Software & Consulting
TATACOMM,Tata Communications Limited,INE151A01013,Telecom - Cellular & Fixed line services
PERSISTENT,Persistent Systems Limited,INE262H01021,Computers - Software & Consulting
LTTS,L&T Technology Services Limited,INE010V01017,IT Enabled Services
DIXON,Dixon Technologies (India) Limited,INE935N01020,Consumer Electronics
ABCAPITAL,Aditya Birla Capital Limited,INE674K01013,Investment Company
NMDC,NMDC Limited,INE584A01023,Industrial Minerals
LTF,L&T Finance Limited,INE498L01015,Investment Company
INDUSTOWER,Indus Towers Limited,INE121J01017,Telecom - Infrastructure
MPHASIS,MphasiS Limited,INE356A01018,Computers - Software & Consulting
GUJGASLTD,Gujarat Gas Limited,INE844O01030,LPG/CNG/PNG/LNG Supplier
OFSS,Oracle Financial Services Software Limited,INE881D01027,Software Products
FEDERALBNK,The Federal Bank  Limited,INE171A01029,Private Sector Bank
BHEL,Bharat Heavy Electricals Limited,INE257A01026,Heavy Electrical Equipment
