symbol,companyName,isin,industry
GRASIM,Grasim Industries Limited,INE047A01021,Cement & Cement Products
ICICIGI,ICICI Lombard General Insurance Company Limited,INE765G01017,General Insurance
SUNPHARMA,Sun Pharmaceutical Industries Limited,INE044A04014,Pharmaceuticals
ULTRACEMCO,UltraTech Cement Limited,INE481G01011,Cement & Cement Products
LUPIN,Lupin Limited,INE326A01037,Pharmaceuticals
ZYDUSLIFE,Zydus Lifesciences Limited,INE010B01027,Pharmaceuticals
COLPAL,Colgate Palmolive (India) Limited,INE259A01022,Personal Care
CUMMINSIND,Cummins India Limited,INE298A01020,Compressors Pumps & Diesel Engines
NESTLEIND,Nestle India Limited,INE239A01024,Packaged Foods
MRF,MRF Limited,INE883A01011,Tyres & Rubber Products
RELIANCE,Reliance Industries Limited,INE002A01018,Refineries & Marketing
TORNTPHARM,Torrent Pharmaceuticals Limited,INE685A01028,Pharmaceuticals
BRITANNIA,Britannia Industries Limited,INE216A07052,Packaged Foods
NTPC,NTPC Limited,INE733E07JH3,Power Generation
BHARTIARTL,Bharti Airtel Limited,INE397D01024,Telecom - Cellular & Fixed line services
ITC,ITC Limited,INE154A01025,Diversified FMCG
TITAN,Titan Company Limited,INE280A07025,Gems Jewellery And Watches
TVSMOTOR,TVS Motor Company Limited,INE494B01023,2/3 Wheelers
SIEMENS,Siemens Limited,INE003A01024,Heavy Electrical Equipment
TATAMOTORS,Tata Motors Limited,INE155A01022,Passenger Cars & Utility Vehicles
ICICIBANK,ICICI Bank Limited,INE090A01021,Private Sector Bank
MARUTI,Maruti Suzuki India Limited,INE585B01010,Passenger Cars & Utility Vehicles
BAJAJ-AUTO,Bajaj Auto Limited,INE917I01010,2/3 Wheelers
SBIN,State Bank of India,INE062A01020,Public Sector Bank
BOSCHLTD,Bosch Limited,INE323A01026,Auto Components & Equipments
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,Tea & Coffee
DRREDDY,Dr. Reddy's Laboratories Limited,INE089A08051,Pharmaceuticals
AXISBANK,Axis Bank Limited,INE238A01034,Private Sector Bank
LT,Larsen & Toubro Limited,INE018A01030,Civil Construction
ONGC,Oil & Natural Gas Corporation Limited,INE213A01029,Oil Exploration & Production
