symbol,name,isin,industry
MPHASIS,MphasiS Limited,INE356A01018,Computers - Software & Consulting
TCS,Tata Consultancy Services Limited,INE467B01029,Computers - Software & Consulting
PERSISTENT,Persistent Systems Limited,INE262H01021,Computers - Software & Consulting
LTTS,L&T Technology Services Limited,INE010V01017,IT Enabled Services
LTIM,LTIMindtree Limited,INE214T01019,Computers - Software & Consulting
WIPRO,Wipro Limited,INE075A01022,Computers - Software & Consulting
INFY,Infosys Limited,INE009A01021,Computers - Software & Consulting
TECHM,Tech Mahindra Limited,INE669C01036,Computers - Software & Consulting
HCLTECH,HCL Technologies Limited,INE860A01027,Computers - Software & Consulting
COFORGE,Coforge Limited,INE591G01017,Computers - Software & Consulting
