symbol,companyName,isin,industry
HINDUNILVR,Hindustan Unilever Limited,INE030A01027,Diversified FMCG
SUNPHARMA,Sun Pharmaceutical Industries Limited,INE044A04014,Pharmaceuticals
HEROMOTOCO,Hero MotoCorp Limited,INE158A01026,2/3 Wheelers
EICHERMOT,Eicher Motors Limited,INE066A01021,2/3 Wheelers
BRITANNIA,Britannia Industries Limited,INE216A07052,Packaged Foods
ASHOKLEY,Ashok Leyland Limited,INE208A01029,Commercial Vehicles
ITC,ITC Limited,INE154A01025,Diversified FMCG
CIPLA,Cipla Limited,INE059A01026,Pharmaceuticals
TITAN,Titan Company Limited,INE280A07025,Gems Jewellery And Watches
HCLTECH,HCL Technologies Limited,INE860A01027,Computers - Software & Consulting
MARUTI,Maruti Suzuki India Limited,INE585B01010,Passenger Cars & Utility Vehicles
TCS,Tata Consultancy Services Limited,INE467B01029,Computers - Software & Consulting
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,Tea & Coffee
INFY,Infosys Limited,INE009A01021,Computers - Software & Consulting
WIPRO,Wipro Limited,INE075A01022,Computers - Software & Consulting
