symbol,name,isin,industry
M&M,Mahindra & Mahindra Limited,INE101A01026,Passenger Cars & Utility Vehicles
ONGC,Oil & Natural Gas Corporation Limited,INE213A01029,Oil Exploration & Production
ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042,Port & Port services
BEL,Bharat Electronics Limited,INE263A01024,Aerospace & Defense
TATAMOTORS,Tata Motors Limited,INE155A01022,Passenger Cars & Utility Vehicles
TITAN,Titan Company Limited,INE280A01028,Gems Jewellery And Watches
NESTLEIND,Nestle India Limited,INE239A01024,Packaged Foods
EICHERMOT,Eicher Motors Limited,INE066A01021,2/3 Wheelers
NTPC,NTPC Limited,INE733E01010,Power Generation
HINDALCO,Hindalco Industries Limited,INE038A01020,Aluminium
AXISBANK,Axis Bank Limited,INE238A01034,Private Sector Bank
TATASTEEL,Tata Steel Limited,INE081A01020,Iron & Steel
SBILIFE,SBI Life Insurance Company Limited,INE123W01016,Life Insurance
INDUSINDBK,IndusInd Bank Limited,INE095A01012,Private Sector Bank
BPCL,Bharat Petroleum Corporation Limited,INE029A01011,Refineries & Marketing
HEROMOTOCO,Hero MotoCorp Limited,INE158A01026,2/3 Wheelers
KOTAKBANK,Kotak Mahindra Bank Limited,INE237A01028,Private Sector Bank
SUNPHARMA,Sun Pharmaceutical Industries Limited,INE044A01036,Pharmaceuticals
COALINDIA,Coal India Limited,INE522F01014,Coal
CIPLA,Cipla Limited,INE059A01026,Pharmaceuticals
BAJAJFINSV,Bajaj Finserv Limited,INE918I01026,Holding Company
RELIANCE,Reliance Industries Limited,INE002A01018,Refineries & Marketing
HINDUNILVR,Hindustan Unilever Limited,INE030A01027,Diversified FMCG
ULTRACEMCO,UltraTech Cement Limited,INE481G01011,Cement & Cement Products
BAJAJ-AUTO,Bajaj Auto Limited,INE917I01010,2/3 Wheelers
HDFCLIFE,HDFC Life Insurance Company Limited,INE795G01014,Life Insurance
TCS,Tata Consultancy Services Limited,INE467B01029,Computers - Software & Consulting
POWERGRID,Power Grid Corporation of India Limited,INE752E01010,Power - Transmission
SHRIRAMFIN,Shriram Finance Limited,INE721A01013,Non Banking Financial Company (NBFC)
BAJFINANCE,Bajaj Finance Limited,INE296A01024,Non Banking Financial Company (NBFC)
MARUTI,Maruti Suzuki India Limited,INE585B01010,Passenger Cars & Utility Vehicles
ITC,ITC Limited,INE154A01025,Diversified FMCG
GRASIM,Grasim Industries Limited,INE047A01021,Cement & Cement Products
APOLLOHOSP,Apollo Hospitals Enterprise Limited,INE437A01024,Hospital
SBIN,State Bank of India,INE062A01020,Public Sector Bank
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,Tea & Coffee
JSWSTEEL,JSW Steel Limited,INE019A01038,Iron & Steel
LT,Larsen & Toubro Limited,INE018A01030,Civil Construction
HDFCBANK,HDFC Bank Limited,INE040A01034,Private Sector Bank
BHARTIARTL,Bharti Airtel Limited,INE397D01024,Telecom - Cellular & Fixed line services
TRENT,Trent Limited,INE849A01020,Speciality Retail
ASIANPAINT,Asian Paints Limited,INE021A01026,Paints
ICICIBANK,ICICI Bank Limited,INE090A01021,Private Sector Bank
WIPRO,Wipro Limited,INE075A01022,Computers - Software & Consulting
INFY,Infosys Limited,INE009A01021,Computers - Software & Consulting
ADANIENT,Adani Enterprises Limited,INE423A01024,Trading - Minerals
TECHM,Tech Mahindra Limited,INE669C01036,Computers - Software & Consulting
BRITANNIA,Britannia Industries Limited,INE216A01030,Packaged Foods
HCLTECH,HCL Technologies Limited,INE860A01027,Computers - Software & Consulting
DRREDDY,Dr. Reddy's Laboratories Limited,INE089A01031,Pharmaceuticals
