symbol,companyName,isin,industry
MAZDOCK,Mazagon Dock Shipbuilders Limited,INE249Z01012,Ship Building & Allied Services
KAJARIACER,Kajaria Ceramics Limited,INE217B01036,Ceramics
DEEPAKNTR,Deepak Nitrite Limited,INE288B01029,Specialty Chemicals
CENTURYTEX,Century Textiles & Industries Limited,INE055A01016,Paper & Paper Products
SKFINDIA,SKF India Limited,INE640A01023,Abrasives & Bearings
APLAPOLLO,APL Apollo Tubes Limited,INE702C01027,Iron & Steel Products
PIDILITIND,Pidilite Industries Limited,INE318A01026,Specialty Chemicals
CASTROLIND,Castrol India Limited,INE172A01027,Lubricants
KPRMILL,K.P.R. Mill Limited,INE930H01031,Other Textile Products
UPL,UPL Limited,INE628A03016,Pesticides & Agrochemicals
BALKRISIND,Balkrishna Industries Limited,INE787D01026,Tyres & Rubber Products
SUNPHARMA,Sun Pharmaceutical Industries Limited,INE044A04014,Pharmaceuticals
KEI,KEI Industries Limited,INE878B01027,Cables - Electricals
LUPIN,Lupin Limited,INE326A01037,Pharmaceuticals
ZYDUSLIFE,Zydus Lifesciences Limited,INE010B01027,Pharmaceuticals
NAVINFLUOR,Navin Fluorine International Limited,INE048G01026,Specialty Chemicals
BHARATFORG,Bharat Forge Limited,INE465A13020,Auto Components & Equipments
HAL,Hindustan Aeronautics Limited,INE066F01020,Aerospace & Defense
SRF,SRF Limited,INE647A01010,Specialty Chemicals
CUMMINSIND,Cummins India Limited,INE298A01020,Compressors Pumps & Diesel Engines
GRINDWELL,Grindwell Norton Limited,INE536A01023,Abrasives & Bearings
MRF,MRF Limited,INE883A01011,Tyres & Rubber Products
BEL,Bharat Electronics Limited,INE263A01024,Aerospace & Defense
TIINDIA,Tube Investments of India Limited,INE974X01010,Auto Components & Equipments
DIVISLAB,Divi's Laboratories Limited,INE361B01024,Pharmaceuticals
HEROMOTOCO,Hero MotoCorp Limited,INE158A01026,2/3 Wheelers
RELIANCE,Reliance Industries Limited,INE002A01018,Refineries & Marketing
ASTRAL,Astral Limited,INE006I01046,Plastic Products - Industrial
BPCL,Bharat Petroleum Corporation Limited,INE029A01011,Refineries & Marketing
PIIND,PI Industries Limited,INE603J01030,Pesticides & Agrochemicals
IOC,Indian Oil Corporation Limited,INE242A01010,Refineries & Marketing
SOLARINDS,Solar Industries India Limited,INE343H01029,Explosives
EICHERMOT,Eicher Motors Limited,INE066A01021,2/3 Wheelers
CARBORUNIV,Carborundum Universal Limited,INE120A01034,Abrasives & Bearings
TORNTPHARM,Torrent Pharmaceuticals Limited,INE685A01028,Pharmaceuticals
CROMPTON,Crompton Greaves Consumer Electricals Limited,INE299U01018,Household Appliances
HAVELLS,Havells India Limited,INE176B01034,Consumer Electronics
JSWSTEEL,JSW Steel Limited,INE019A01038,Iron & Steel
AUROPHARMA,Aurobindo Pharma Limited,INE406A01037,Pharmaceuticals
ASHOKLEY,Ashok Leyland Limited,INE208A01029,Commercial Vehicles
SUPREMEIND,Supreme Industries Limited,INE195A01028,Plastic Products - Industrial
HONAUT,Honeywell Automation India Limited,INE671A01010,Industrial Products
CIPLA,Cipla Limited,INE059A01026,Pharmaceuticals
ESCORTS,Escorts Kubota Limited,INE042A01014,Tractors
SONACOMS,Sona BLW Precision Forgings Limited,INE073K01018,Auto Components & Equipments
CGPOWER,CG Power and Industrial Solutions Limited,INE067A01029,Heavy Electrical Equipment
JINDALSTEL,Jindal Steel & Power Limited,INE749A01030,Iron & Steel
MOTHERSON,Samvardhana Motherson International Limited,INE775A01035,Auto Components & Equipments
SCHAEFFLER,Schaeffler India Limited,INE513A01022,Auto Components & Equipments
COROMANDEL,Coromandel International Limited,INE169A08010,Fertilizers
AIAENG,AIA Engineering Limited,INE212H01026,Castings & Forgings
TATASTEEL,Tata Steel Limited,INE081A03018,Iron & Steel
TVSMOTOR,TVS Motor Company Limited,INE494B01023,2/3 Wheelers
LINDEINDIA,Linde India Limited,INE473A01011,Industrial Gases
SIEMENS,Siemens Limited,INE003A01024,Heavy Electrical Equipment
POLYCAB,Polycab India Limited,INE455K01017,Cables - Electricals
TATAMOTORS,Tata Motors Limited,INE155A01022,Passenger Cars & Utility Vehicles
MARUTI,Maruti Suzuki India Limited,INE585B01010,Passenger Cars & Utility Vehicles
BATAINDIA,Bata India Limited,INE176A01028,Footwear
BAJAJ-AUTO,Bajaj Auto Limited,INE917I01010,2/3 Wheelers
EXIDEIND,Exide Industries Limited,INE302A01020,Auto Components & Equipments
SUZLON,Suzlon Energy Limited,INE040H01021,Heavy Electrical Equipment
BOSCHLTD,Bosch Limited,INE323A01026,Auto Components & Equipments
PAGEIND,Page Industries Limited,INE761H01022,Garments & Apparels
DRREDDY,Dr. Reddy's Laboratories Limited,INE089A08051,Pharmaceuticals
SUNDRMFAST,Sundram Fasteners Limited,INE387A01021,Auto Components & Equipments
VEDL,Vedanta Limited,INE205A01025,Diversified Metals
DIXON,Dixon Technologies (India) Limited,INE935N01020,Consumer Electronics
VOLTAS,Voltas Limited,INE226A01021,Household Appliances
M&M,Mahindra & Mahindra Limited,INE101A01026,Passenger Cars & Utility Vehicles
HINDZINC,Hindustan Zinc Limited,INE267A01025,Zinc
HINDALCO,Hindalco Industries Limited,INE038A01020,Aluminium
TATACHEM,Tata Chemicals Limited,INE344201012,Commodity Chemicals
ABB,ABB India Limited,INE117A01022,Heavy Electrical Equipment
TEJASNET,Tejas Networks Limited,INE010J01012,Telecom - Equipment & Accessories
