symbol,companyName,isin,industry
INDIAMART,Indiamart Intermesh Limited,INE933S01016,Internet & Catalogue Retail
PAYTM,One 97 Communications Limited,INE982J01020,Financial Technology (Fintech)
POLICYBZR,PB Fintech Limited,INE417T01026,Financial Technology (Fintech)
INTELLECT,Intellect Design Arena Limited,INE306R01017,Computers - Software & Consulting
TANLA,Tanla Platforms Limited,INE483C01032,Software Products
TECHM,Tech Mahindra Limited,INE669C01036,Computers - Software & Consulting
BHARTIARTL,Bharti Airtel Limited,INE397D01024,Telecom - Cellular & Fixed line services
AFFLE,Affle (India) Limited,INE00WC01027,IT Enabled Services
CYIENT,Cyient Limited,INE136B01020,IT Enabled Services
HCLTECH,HCL Technologies Limited,INE860A01027,Computers - Software & Consulting
IRCTC,Indian Railway Catering And Tourism Corporation Limited,INE335Y01020,Tour Travel Related Services
BSOFT,BIRLASOFT LIMITED,INE836A01035,Computers - Software & Consulting
TCS,Tata Consultancy Services Limited,INE467B01029,Computers - Software & Consulting
HAPPSTMNDS,Happiest Minds Technologies Limited,INE419U01012,Computers - Software & Consulting
SONATSOFTW,Sonata Software Limited,INE269A01021,Computers - Software & Consulting
IDEA,Vodafone Idea Limited,INE669E01016,Telecom - Cellular & Fixed line services
INFY,Infosys Limited,INE009A01021,Computers - Software & Consulting
NAUKRI,Info Edge (India) Limited,INE663F01024,Internet & Catalogue Retail
KPITTECH,KPIT Technologies Limited,INE04I401011,Computers - Software & Consulting
PERSISTENT,Persistent Systems Limited,INE262H01021,Computers - Software & Consulting
COFORGE,Coforge Limited,INE591G01017,Computers - Software & Consulting
TATACOMM,Tata Communications Limited,INE151A01013,Telecom - Cellular & Fixed line services
LTTS,L&T Technology Services Limited,INE010V01017,IT Enabled Services
LTIM,LTIMindtree Limited,INE214T01019,Computers - Software & Consulting
TATAELXSI,Tata Elxsi Limited,INE670A01012,Computers - Software & Consulting
NYKAA,FSN E-Commerce Ventures Limited,INE388Y01029,E-Retail/ E-Commerce
MPHASIS,MphasiS Limited,INE356A01018,Computers - Software & Consulting
OFSS,Oracle Financial Services Software Limited,INE881D01027,Software Products
ZOMATO,Zomato Limited,INE758T01015,E-Retail/ E-Commerce
WIPRO,Wipro Limited,INE075A01022,Computers - Software & Consulting
