symbol,companyName,isin,industry
GRASIM,Grasim Industries Limited,INE047A01021,Cement & Cement Products
HEROMOTOCO,Hero MotoCorp Limited,INE158A01026,2/3 Wheelers
BRITANNIA,Britannia Industries Limited,INE216A07052,Packaged Foods
INDUSINDBK,IndusInd Bank Limited,INE095A01012,Private Sector Bank
NTPC,NTPC Limited,INE733E07JH3,Power Generation
TECHM,Tech Mahindra Limited,INE669C01036,Computers - Software & Consulting
ITC,ITC Limited,INE154A01025,Diversified FMCG
TATASTEEL,Tata Steel Limited,INE081A03018,Iron & Steel
HCLTECH,HCL Technologies Limited,INE860A01027,Computers - Software & Consulting
POWERGRID,Power Grid Corporation of India Limited,INE752E01010,Power - Transmission
ICICIBANK,ICICI Bank Limited,INE090A01021,Private Sector Bank
BAJAJ-AUTO,Bajaj Auto Limited,INE917I01010,2/3 Wheelers
TCS,Tata Consultancy Services Limited,INE467B01029,Computers - Software & Consulting
SBIN,State Bank of India,INE062A01020,Public Sector Bank
DRREDDY,Dr. Reddy's Laboratories Limited,INE089A08051,Pharmaceuticals
INFY,Infosys Limited,INE009A01021,Computers - Software & Consulting
HINDALCO,Hindalco Industries Limited,INE038A01020,Aluminium
COALINDIA,Coal India Limited,INE522F01014,Coal
ONGC,Oil & Natural Gas Corporation Limited,INE213A01029,Oil Exploration & Production
WIPRO,Wipro Limited,INE075A01022,Computers - Software & Consulting
