symbol,companyName,isin,industry
HINDPETRO,Hindustan Petroleum Corporation Limited,INE169701013,Refineries & Marketing
GRASIM,Grasim Industries Limited,INE047A01021,Cement & Cement Products
APOLLOHOSP,Apollo Hospitals Enterprise Limited,INE437A01024,Hospital
BALKRISIND,Balkrishna Industries Limited,INE787D01026,Tyres & Rubber Products
AMBUJACEM,Ambuja Cements Limited,INE079A01024,Cement & Cement Products
ULTRACEMCO,UltraTech Cement Limited,INE481G01011,Cement & Cement Products
SHREECEM,SHREE CEMENT LIMITED,INE070A01015,Cement & Cement Products
PETRONET,Petronet LNG Limited,INE347G01014,LPG/CNG/PNG/LNG Supplier
BHARATFORG,Bharat Forge Limited,INE465A13020,Auto Components & Equipments
CUMMINSIND,Cummins India Limited,INE298A01020,Compressors Pumps & Diesel Engines
MRF,MRF Limited,INE883A01011,Tyres & Rubber Products
RELIANCE,Reliance Industries Limited,INE002A01018,Refineries & Marketing
BPCL,Bharat Petroleum Corporation Limited,INE029A01011,Refineries & Marketing
IOC,Indian Oil Corporation Limited,INE242A01010,Refineries & Marketing
NTPC,NTPC Limited,INE733E07JH3,Power Generation
DLF,DLF Limited,INE271C01023,Residential Commercial Projects
ASHOKLEY,Ashok Leyland Limited,INE208A01029,Commercial Vehicles
GODREJPROP,Godrej Properties Limited,INE484J01027,Residential Commercial Projects
BHARTIARTL,Bharti Airtel Limited,INE397D01024,Telecom - Cellular & Fixed line services
INDHOTEL,The Indian Hotels Company Limited,INE053A13016,Hotels & Resorts
INDIGO,InterGlobe Aviation Limited,INE646L01027,Airline
POWERGRID,Power Grid Corporation of India Limited,INE752E01010,Power - Transmission
IRCTC,Indian Railway Catering And Tourism Corporation Limited,INE335Y01020,Tour Travel Related Services
SIEMENS,Siemens Limited,INE003A01024,Heavy Electrical Equipment
ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042,Port & Port services
CONCOR,Container Corporation of India Limited,INE111A01025,Logistics Solution Provider
LT,Larsen & Toubro Limited,INE018A01030,Civil Construction
GAIL,GAIL (India) Limited,INE129A01019,Gas Transmission/Marketing
TATAPOWER,Tata Power Company Limited,INE245A01021,Integrated Power Utilities
ONGC,Oil & Natural Gas Corporation Limited,INE213A01029,Oil Exploration & Production
